UniverseId,Name,Genre,Created Date,Updated Date,Max Players,Playability Status,Is Experimental,Price,Visits,Developer,Thumbnail URL,PlayerCount,Upvotes,Downvotes
5945869149,[4.0 PT3]Super Flush Universe,All,2024-05-04T00:15:58.917Z,2024-12-14T23:21:42.1845116Z,27,N/A,False,,5609144,Super Flush Universe Group,N/A,229,2709,872
5713331975,[🎄CHRISTMAS 1.5]Bathroom Defense 2,All,2024-03-03T05:18:23.067Z,2024-12-14T23:03:28.4933413Z,25,N/A,False,,13856718,Gxentry Studios,N/A,189,5411,1135
3478678937,[AWAKENING] 🌱 Grass Cutting Incremental 🌱,Comedy,2022-04-06T05:49:11.13Z,2024-12-15T00:00:30.7393797Z,8,N/A,False,,23929486,LethalDolphin,N/A,497,34113,4401
5371127625,[ XMAS ] Toilet Verse Tower Defense,All,2023-12-06T14:46:52.35Z,2024-12-14T15:46:28.9724731Z,50,N/A,False,,67304517,Toilet Verse,N/A,866,33147,3994
4938220315,[UPD 3.95] Skibi Defense,All,2023-08-01T20:57:54.767Z,2024-12-13T17:59:51.8705654Z,50,N/A,False,,287275766,Archkos Studios,N/A,1641,148310,10855
2463681758,[🐉 Dragon Orb Hunter] Anime World Tower Defense,All,2021-03-23T16:32:00.147Z,2024-12-14T12:27:31.9725347Z,20,N/A,False,,168048886,Lazy Cat Studio,N/A,2021,102804,10162
383310974,[WINTER❄️] Adopt Me! ,RPG,2017-07-14T19:26:21.347Z,2024-12-13T19:50:10.8662986Z,48,N/A,False,,38085421003,Uplift Games,N/A,137677,7388805,1450790
4229990801,Flood Escape 2 Community Maps,All,2022-12-28T13:13:07.043Z,2024-12-14T17:03:15.8426617Z,1,N/A,False,,7096434,FE2CM_Official,N/A,83,6735,1152
4743794878,The Classic Soccer,Sports,2023-06-05T21:23:11.177Z,2024-11-08T12:06:03.75Z,10,N/A,False,,15859662,guigoals,N/A,1470,5777,1701
4509896324,[⚜️ UPD + 🗺️ QOL] Anime Last Stand,Adventure,2023-03-24T22:47:28.563Z,2024-12-14T17:12:44.1144462Z,26,N/A,False,,559503097,[B:S] ALS Team,N/A,16761,368623,27234
481618399,Blockate,Building,2017-11-10T20:07:35.473Z,2024-12-07T18:59:53.95Z,16,N/A,False,,83950754,Blockate,N/A,336,37382,12677
2682938349,❄️⛄ Wild Horse Islands,Adventure,2021-06-22T16:46:19.733Z,2024-12-14T03:56:59.9766923Z,25,N/A,False,,441830238,Happy Acres,N/A,4768,197817,17979
3289847355, Tower Creator (Beta),Building,2022-01-26T12:44:27.747Z,2024-12-14T23:47:36.8452508Z,14,N/A,False,,14072899,Boring Tower Studio,N/A,357,8763,2380
321778215,Royale❄️High,All,2017-04-10T13:16:49.493Z,2024-12-14T23:42:52.7040036Z,16,N/A,False,,10052991793,callmehbob,N/A,10615,3172803,495079
1176784616,🔥MOLTEN🔥 Tower Defense Simulator ,All,2019-06-05T04:21:45.977Z,2024-12-11T20:57:48.67Z,30,N/A,False,,3728986131,Paradoxum Games,N/A,11032,1620455,106668
1198533421,[New Rims!] Midnight Racing: Tokyo,Town and City,2019-06-20T21:29:15.317Z,2024-12-13T14:45:11.5105206Z,16,N/A,False,,119746709,devGem,N/A,1219,199176,23931
3359505957,Collect All Pets!,All,2022-02-20T17:07:04.26Z,2024-12-10T14:16:50.153Z,12,N/A,False,,162585678,TwoZoos,N/A,4283,110345,8631
5361032378, Sol's RNG [Eon1-1],All,2023-12-03T08:42:00.263Z,2024-12-14T05:32:56.1546771Z,20,N/A,False,,900716572,sol's studio,N/A,61505,816022,106875
3264581003,Juke's Towers of Hell,Adventure,2022-01-17T00:20:38.113Z,2024-12-14T06:08:01.6727062Z,1,N/A,False,,43674346,Juke's Towers of Hell,N/A,697,39183,10972
4675711088,MPS 4-a-side,Sports,2023-05-14T01:39:43.507Z,2024-11-14T16:00:55.237Z,8,N/A,False,,31232270,MPS Studiоs,N/A,187,13975,2998
5578556129,[UPDATE 1.75] Anime Vanguards,All,2024-01-28T07:09:39.507Z,2024-12-14T01:13:10.0256197Z,24,N/A,False,,693159559,Kitawari,N/A,21654,1766621,60870
6401952734,PETS GO! ✨,All,2024-08-11T07:06:12.53Z,2024-12-14T06:03:42.1102434Z,8,N/A,False,,417341607,BIG Games Pets,N/A,94265,391482,34821
3317771874,Pet Simulator 99! 🎁,All,2022-02-05T13:30:02.357Z,2024-12-14T18:26:52.8889068Z,10,N/A,False,,1661742338,BIG Games Pets,N/A,173229,2675392,116036
5315312115,[RP] Pine Ridge [1.0 RELEASE + SEASONS],All,2023-11-19T19:22:22.06Z,2024-12-13T08:25:38.66Z,70,N/A,False,,3338197,Trite Roleplay,N/A,336,8570,1069
5841858050, (NEW INDOOR ARENA) Strideway,All,2024-04-06T14:18:07.557Z,2024-11-24T18:15:25.037Z,10,N/A,False,300.0,11049351,Strideway,N/A,427,14763,1011
1393178180,[❄️☃️] Polish Car Driving,Town and City,2019-11-04T18:56:09.773Z,2024-12-15T00:04:18.2732923Z,36,N/A,False,,44295844,Polish Car Driving | Official Group,N/A,341,55168,9561
1520491885,🔨RO-Scale Sandbox🔨,Building,2020-01-25T05:02:37.57Z,2024-12-02T06:44:11.003Z,20,N/A,False,,19781610,Rock Fort Lines,N/A,361,14955,4598
3448155692,[ DAY 13 ] Dorset County ,Town and City,2022-03-25T16:04:05.087Z,2024-12-13T15:57:19.798142Z,60,N/A,False,,8271092,Majobe123,N/A,245,15480,4973
3541611379,Tower Defense X: BETA,Fighting,2022-04-30T06:57:56.987Z,2024-12-13T23:40:59.295429Z,50,N/A,False,,242854521,Tower Defense X,N/A,3391,284951,13323
3913007563,The Battle Bricks,All,2022-09-06T01:06:28.32Z,2024-12-11T19:12:38.04Z,1,N/A,False,,14811164,Tumore,N/A,461,31753,6960
4195129841,(Update) Sans Funny Boss Rush,All,2022-12-18T14:08:00.327Z,2024-12-09T13:55:48.15Z,6,N/A,False,,16625775,puppet016,N/A,163,8864,1929
